Origin,Bulk,Rep,Trmt,TOD,Dead
Cross,1,41,Control,96,0
Cross,1,41,Control,96,0
Cross,1,41,Control,96,0
Cross,1,41,Control,96,0
Cross,1,41,Control,96,0
Cross,1,42,Control,48,1
Cross,1,42,Control,96,0
Cross,1,42,Control,96,0
Cross,1,42,Control,96,0
Cross,1,42,Control,96,0
Cross,1,42,Control,96,0
Cross,1,42,Control,96,0
Cross,1,42,Control,96,0
Cross,1,42,Control,96,0
Cross,1,42,Control,96,0
Cross,2,43,Control,48,1
Cross,2,43,Control,96,0
Cross,2,43,Control,96,0
Cross,2,43,Control,96,0
Cross,2,43,Control,96,0
Cross,2,43,Control,96,0
Cross,2,43,Control,96,0
Cross,2,43,Control,96,0
Cross,2,43,Control,96,0
Cross,2,43,Control,96,0
Cross,2,44,Control,72,1
Cross,2,44,Control,96,1
Cross,2,44,Control,96,1
Cross,2,44,Control,96,0
Cross,2,44,Control,96,0
Cross,2,44,Control,96,0
Cross,2,44,Control,96,0
Cross,2,44,Control,96,0
Cross,2,44,Control,96,0
Cross,2,44,Control,96,0
Cross,2,45,Control,96,1
Cross,2,45,Control,96,0
Cross,2,45,Control,96,0
Cross,2,45,Control,96,0
Cross,2,45,Control,96,0
Cross,2,45,Control,96,0
Cross,2,45,Control,96,0
Cross,2,45,Control,96,0
Cross,2,45,Control,96,0
Cross,2,45,Control,96,0
Cross,2,46,Control,24,1
Cross,2,46,Control,72,1
Cross,2,46,Control,96,0
Cross,2,46,Control,96,0
Cross,2,46,Control,96,0
Cross,2,46,Control,96,0
Cross,2,46,Control,96,0
Cross,2,46,Control,96,0
Cross,2,46,Control,96,0
Cross,2,46,Control,96,0
Cross,2,47,Control,96,0
Cross,2,47,Control,96,0
Cross,2,47,Control,96,0
Cross,2,47,Control,96,0
Cross,2,47,Control,96,0
Cross,2,47,Control,96,0
Cross,2,47,Control,96,0
Cross,2,47,Control,96,0
Cross,2,47,Control,96,0
Cross,2,47,Control,96,0
Cross,2,48,Control,96,0
