gene,logP
isogroupOFAVBQ_DN163766_c0_g1,-2.95251964629834
isogroupOFAVBQ_DN163810_c0_g1,NA
isogroupOFAVBQ_DN163822_c0_g1,NA
isogroupOFAVBQ_DN164076_c0_g2,NA
isogroupOFAVBQ_DN164107_c0_g1,NA
isogroupOFAVBQ_DN164133_c2_g1,NA
isogroupOFAVBQ_DN164138_c0_g1,-0.00212019075569862
isogroupOFAVBQ_DN164138_c0_g2,0.108385098271581
isogroupOFAVBQ_DN164157_c0_g1,NA
isogroupOFAVBQ_DN164178_c0_g2,NA
isogroupOFAVBQ_DN164193_c0_g1,NA
isogroupOFAVBQ_DN164230_c0_g1,NA
isogroupOFAVBQ_DN164230_c0_g2,NA
isogroupOFAVBQ_DN16459_c0_g1,NA
isogroupOFAVBQ_DN164629_c0_g1,NA
isogroupOFAVBQ_DN164688_c0_g1,NA
isogroupOFAVBQ_DN164688_c1_g1,NA
isogroupOFAVBQ_DN164743_c0_g1,NA
isogroupOFAVBQ_DN164806_c0_g1,0.110467970610609
isogroupOFAVBQ_DN16483_c0_g1,NA
isogroupOFAVBQ_DN165095_c0_g1,-0.270614193980037
isogroupOFAVBQ_DN165390_c0_g1,NA
isogroupOFAVBQ_DN165478_c0_g1,NA
isogroupOFAVBQ_DN16562_c0_g1,NA
isogroupOFAVBQ_DN165653_c0_g1,NA
isogroupOFAVBQ_DN165686_c0_g1,NA
isogroupOFAVBQ_DN165719_c0_g1,NA
isogroupOFAVBQ_DN165755_c0_g1,NA
isogroupOFAVBQ_DN165840_c0_g1,NA
isogroupOFAVBQ_DN165875_c0_g1,0.24507662251663
isogroupOFAVBQ_DN165875_c2_g1,-0.182408891455176
isogroupOFAVBQ_DN165889_c2_g1,-0.0112951619308741
isogroupOFAVBQ_DN166002_c0_g1,NA
isogroupOFAVBQ_DN166008_c0_g1,0.105273494890151
isogroupOFAVBQ_DN166079_c0_g1,NA
isogroupOFAVBQ_DN166103_c0_g3,NA
isogroupOFAVBQ_DN166177_c0_g1,NA
isogroupOFAVBQ_DN166209_c0_g1,NA
isogroupOFAVBQ_DN166330_c0_g1,0.281362789484437
isogroupOFAVBQ_DN166352_c0_g1,-1.04380022361383
isogroupOFAVBQ_DN166512_c0_g1,-2.24136694871782
isogroupOFAVBQ_DN166592_c0_g1,NA
isogroupOFAVBQ_DN166633_c1_g1,NA
isogroupOFAVBQ_DN166675_c0_g1,NA
isogroupOFAVBQ_DN166774_c0_g1,NA
isogroupOFAVBQ_DN166864_c1_g1,NA
isogroupOFAVBQ_DN166867_c0_g1,NA
isogroupOFAVBQ_DN166887_c0_g1,NA
isogroupOFAVBQ_DN167095_c0_g1,NA
isogroupOFAVBQ_DN167127_c0_g1,1.7875033238914
isogroupOFAVBQ_DN167142_c0_g1,-2.24805801639989
isogroupOFAVBQ_DN16740_c0_g1,NA
isogroupOFAVBQ_DN167449_c0_g3,NA
isogroupOFAVBQ_DN167554_c0_g1,0.0295046661987618
