gene,logP
isogroupOFAVBQ_DN153959_c0_g1,-0.135965185897392
isogroupOFAVBQ_DN153981_c0_g1,0.0589347696844187
isogroupOFAVBQ_DN153998_c0_g1,NA
isogroupOFAVBQ_DN154099_c0_g1,-0.0858416798471971
isogroupOFAVBQ_DN154223_c0_g1,0.0868555421407796
isogroupOFAVBQ_DN154228_c0_g2,NA
isogroupOFAVBQ_DN154254_c1_g1,NA
isogroupOFAVBQ_DN154380_c0_g1,NA
isogroupOFAVBQ_DN154528_c0_g1,NA
isogroupOFAVBQ_DN154528_c0_g2,NA
isogroupOFAVBQ_DN154534_c0_g1,NA
isogroupOFAVBQ_DN154544_c0_g1,-0.371053294265467
isogroupOFAVBQ_DN154576_c0_g1,0.120960711772452
isogroupOFAVBQ_DN154676_c0_g1,NA
isogroupOFAVBQ_DN154710_c0_g1,NA
isogroupOFAVBQ_DN154770_c0_g1,NA
isogroupOFAVBQ_DN154822_c0_g1,NA
isogroupOFAVBQ_DN154848_c0_g1,NA
isogroupOFAVBQ_DN154908_c0_g1,0.0212859514812291
isogroupOFAVBQ_DN155186_c0_g1,-0.109835409733735
isogroupOFAVBQ_DN155273_c0_g1,NA
isogroupOFAVBQ_DN155283_c0_g1,0.119680250862202
isogroupOFAVBQ_DN155448_c0_g1,NA
isogroupOFAVBQ_DN155733_c0_g1,0.00229922115578764
isogroupOFAVBQ_DN155736_c0_g1,0.241708743407874
isogroupOFAVBQ_DN155898_c0_g1,NA
isogroupOFAVBQ_DN155910_c0_g1,0.026255105814273
isogroupOFAVBQ_DN155928_c0_g2,-0.224527119250627
isogroupOFAVBQ_DN156018_c0_g1,-0.173835739624778
isogroupOFAVBQ_DN156113_c0_g1,NA
isogroupOFAVBQ_DN156171_c0_g1,-0.0788643650759551
isogroupOFAVBQ_DN156279_c0_g1,1.28203560038761
isogroupOFAVBQ_DN156428_c0_g1,NA
isogroupOFAVBQ_DN156462_c0_g1,0.16689804568816
isogroupOFAVBQ_DN156583_c0_g1,0.00855174601497892
isogroupOFAVBQ_DN156636_c0_g1,NA
isogroupOFAVBQ_DN156679_c0_g1,NA
isogroupOFAVBQ_DN156726_c0_g1,-0.0066706918254373
isogroupOFAVBQ_DN156764_c0_g1,NA
isogroupOFAVBQ_DN156793_c0_g1,-0.115336096764003
isogroupOFAVBQ_DN156847_c0_g1,-0.0098573040804156
isogroupOFAVBQ_DN157052_c0_g1,NA
isogroupOFAVBQ_DN157061_c0_g1,NA
isogroupOFAVBQ_DN157089_c0_g1,NA
isogroupOFAVBQ_DN157248_c0_g1,NA
isogroupOFAVBQ_DN157262_c0_g1,0.128394595995424
isogroupOFAVBQ_DN157314_c0_g1,-0.129001016331064
isogroupOFAVBQ_DN157364_c0_g3,-0.563032670331261
isogroupOFAVBQ_DN157435_c0_g1,0.310102649150923
isogroupOFAVBQ_DN157519_c0_g1,-0.211350487990917
isogroupOFAVBQ_DN157589_c0_g1,0.212725941902079
isogroupOFAVBQ_DN157853_c0_g1,NA
isogroupOFAVBQ_DN158003_c0_g1,NA
isogroupOFAVBQ_DN158070_c0_g3,NA
isogroupOFAVBQ_DN158240_c0_g5,NA
isogroupOFAVBQ_DN158341_c1_g1,-0.0604338336234296
isogroupOFAVBQ_DN158418_c0_g3,NA
isogroupOFAVBQ_DN158423_c0_g1,NA
isogroupOFAVBQ_DN158442_c0_g3,NA
isogroupOFAVBQ_DN158495_c0_g1,NA
isogroupOFAVBQ_DN158555_c0_g1,NA
isogroupOFAVBQ_DN158555_c0_g2,-0.210228524376389
isogroupOFAVBQ_DN158565_c0_g1,0.0337708236187955
isogroupOFAVBQ_DN158677_c0_g1,NA
isogroupOFAVBQ_DN158753_c0_g2,NA
isogroupOFAVBQ_DN158908_c0_g1,-0.0921826757124873
isogroupOFAVBQ_DN158976_c0_g1,-0.03278338455636
isogroupOFAVBQ_DN159003_c0_g1,NA
isogroupOFAVBQ_DN159252_c0_g1,0.190134058934507
isogroupOFAVBQ_DN159421_c0_g1,NA
isogroupOFAVBQ_DN159675_c0_g1,-0.224774602434137
isogroupOFAVBQ_DN159974_c0_g1,NA
isogroupOFAVBQ_DN160013_c0_g1,NA
isogroupOFAVBQ_DN160079_c0_g3,NA
isogroupOFAVBQ_DN160132_c0_g1,-0.0239699101644337
isogroupOFAVBQ_DN160211_c0_g1,NA
isogroupOFAVBQ_DN160232_c0_g1,NA
isogroupOFAVBQ_DN160242_c0_g1,NA
isogroupOFAVBQ_DN160250_c0_g1,-0.0253349248665673
isogroupOFAVBQ_DN160380_c0_g1,NA
isogroupOFAVBQ_DN160518_c0_g1,-0.427781327711032
isogroupOFAVBQ_DN160608_c0_g1,-0.167322944148172
isogroupOFAVBQ_DN160765_c0_g1,0.0320888179085413
isogroupOFAVBQ_DN160857_c0_g2,NA
isogroupOFAVBQ_DN160870_c0_g1,0.041158650391915
isogroupOFAVBQ_DN161043_c0_g1,-0.126362903966877
isogroupOFAVBQ_DN161119_c0_g2,NA
isogroupOFAVBQ_DN161209_c0_g2,-0.156742391512958
isogroupOFAVBQ_DN161244_c0_g1,NA
isogroupOFAVBQ_DN161261_c0_g2,NA
isogroupOFAVBQ_DN161333_c0_g1,0.319498354839709
isogroupOFAVBQ_DN161467_c0_g1,-0.0898151517127077
isogroupOFAVBQ_DN161553_c0_g1,NA
isogroupOFAVBQ_DN161618_c0_g1,-0.141488706715109
isogroupOFAVBQ_DN161634_c0_g1,NA
isogroupOFAVBQ_DN161744_c0_g1,NA
isogroupOFAVBQ_DN161988_c0_g1,NA
isogroupOFAVBQ_DN162103_c0_g1,NA
isogroupOFAVBQ_DN162129_c0_g1,NA
isogroupOFAVBQ_DN162444_c0_g1,0.0520594888913202
isogroupOFAVBQ_DN162692_c0_g1,-0.026565825267042
isogroupOFAVBQ_DN162722_c0_g1,NA
isogroupOFAVBQ_DN162816_c0_g1,0.430684159671527
isogroupOFAVBQ_DN162817_c0_g2,1.22995473761241
isogroupOFAVBQ_DN162845_c0_g1,NA
isogroupOFAVBQ_DN163023_c2_g1,NA
isogroupOFAVBQ_DN163218_c0_g1,NA
isogroupOFAVBQ_DN163240_c3_g1,NA
isogroupOFAVBQ_DN163722_c0_g1,NA
isogroupOFAVBQ_DN163763_c0_g1,NA
isogroupOFAVBQ_DN163766_c0_g1,-0.201083435519438
isogroupOFAVBQ_DN164076_c0_g2,NA
isogroupOFAVBQ_DN164107_c0_g1,0.172257167076591
isogroupOFAVBQ_DN164138_c0_g1,-0.0695312140688887
isogroupOFAVBQ_DN164138_c0_g2,0.193448285785147
isogroupOFAVBQ_DN164157_c0_g1,-0.0127113538932218
isogroupOFAVBQ_DN164178_c0_g2,NA
isogroupOFAVBQ_DN164193_c0_g1,-0.0410439290661494
isogroupOFAVBQ_DN164447_c0_g1,-0.614641762911065
isogroupOFAVBQ_DN164545_c0_g3,NA
isogroupOFAVBQ_DN16459_c0_g1,NA
isogroupOFAVBQ_DN164629_c0_g1,-0.105033839024125
isogroupOFAVBQ_DN164688_c0_g1,NA
isogroupOFAVBQ_DN164688_c1_g1,0.0189532593007627
isogroupOFAVBQ_DN164743_c0_g1,0.167322944148172
isogroupOFAVBQ_DN164806_c0_g1,0.577690321448083
isogroupOFAVBQ_DN165095_c0_g1,-0.125472947111031
isogroupOFAVBQ_DN165136_c0_g2,NA
isogroupOFAVBQ_DN165390_c0_g1,-0.0168756160265407
isogroupOFAVBQ_DN165559_c2_g1,NA
isogroupOFAVBQ_DN16562_c0_g1,NA
isogroupOFAVBQ_DN165686_c0_g1,NA
isogroupOFAVBQ_DN165719_c0_g1,NA
isogroupOFAVBQ_DN165755_c0_g1,-0.338430418317116
isogroupOFAVBQ_DN165798_c0_g1,NA
isogroupOFAVBQ_DN165875_c0_g1,0.00989826329726706
isogroupOFAVBQ_DN165875_c1_g1,NA
isogroupOFAVBQ_DN165875_c2_g1,0.132746692000983
isogroupOFAVBQ_DN165883_c0_g1,NA
isogroupOFAVBQ_DN165889_c2_g1,0.0266232947417297
isogroupOFAVBQ_DN166008_c0_g1,0.0115892212195132
isogroupOFAVBQ_DN166079_c0_g1,NA
isogroupOFAVBQ_DN166172_c0_g1,NA
isogroupOFAVBQ_DN166330_c0_g1,NA
isogroupOFAVBQ_DN166352_c0_g1,-0.135965185897392
isogroupOFAVBQ_DN166373_c0_g1,NA
isogroupOFAVBQ_DN166376_c0_g1,NA
isogroupOFAVBQ_DN166512_c0_g1,-0.484935874313929
isogroupOFAVBQ_DN166774_c0_g1,0.12576946533683
isogroupOFAVBQ_DN166864_c0_g1,NA
isogroupOFAVBQ_DN166887_c0_g1,0.0603434243036629
isogroupOFAVBQ_DN166907_c0_g1,NA
isogroupOFAVBQ_DN167007_c0_g1,NA
isogroupOFAVBQ_DN167095_c0_g1,NA
isogroupOFAVBQ_DN167127_c0_g1,0.463143349788863
isogroupOFAVBQ_DN167142_c0_g1,-0.0411989090268408
isogroupOFAVBQ_DN16740_c0_g1,NA
isogroupOFAVBQ_DN167428_c0_g1,NA
isogroupOFAVBQ_DN167514_c0_g2,NA
isogroupOFAVBQ_DN167554_c0_g1,-0.104237980542307
isogroupOFAVBQ_DN167807_c0_g1,0.161585920920984
isogroupOFAVBQ_DN167932_c0_g2,NA
isogroupOFAVBQ_DN167976_c0_g1,NA
isogroupOFAVBQ_DN167983_c0_g1,-0.492931187322251
isogroupOFAVBQ_DN167996_c0_g1,0.00880779109231104
isogroupOFAVBQ_DN168068_c0_g1,NA
isogroupOFAVBQ_DN168116_c0_g1,NA
isogroupOFAVBQ_DN168184_c0_g1,0.186520865616244
isogroupOFAVBQ_DN168214_c0_g1,NA
isogroupOFAVBQ_DN168318_c0_g1,-0.0603766333096363
isogroupOFAVBQ_DN168361_c0_g1,NA
isogroupOFAVBQ_DN16845_c0_g1,NA
isogroupOFAVBQ_DN168612_c0_g1,-0.0353516025175164
isogroupOFAVBQ_DN168621_c0_g2,NA
isogroupOFAVBQ_DN168643_c0_g1,NA
isogroupOFAVBQ_DN168992_c0_g1,NA
isogroupOFAVBQ_DN169008_c0_g1,NA
isogroupOFAVBQ_DN169015_c0_g2,NA
isogroupOFAVBQ_DN169123_c0_g1,NA
isogroupOFAVBQ_DN169172_c0_g1,NA
isogroupOFAVBQ_DN169207_c0_g1,NA
isogroupOFAVBQ_DN169367_c1_g1,NA
isogroupOFAVBQ_DN169383_c0_g1,-0.00513334658359653
isogroupOFAVBQ_DN169391_c0_g1,0.0112152531809684
isogroupOFAVBQ_DN169595_c0_g1,NA
isogroupOFAVBQ_DN169747_c0_g3,0.0257534114755543
isogroupOFAVBQ_DN169762_c0_g2,0.00199659264422601
isogroupOFAVBQ_DN169894_c0_g1,NA
isogroupOFAVBQ_DN169959_c0_g1,-0.0138093709724821
isogroupOFAVBQ_DN169978_c0_g1,-0.0358453337027549
isogroupOFAVBQ_DN17002_c0_g1,0.00832556113580697
isogroupOFAVBQ_DN170142_c0_g1,NA
isogroupOFAVBQ_DN170188_c0_g1,0.0270462672981623
isogroupOFAVBQ_DN170289_c1_g2,-0.193482820309725
isogroupOFAVBQ_DN170501_c0_g1,NA
isogroupOFAVBQ_DN170513_c0_g1,NA
isogroupOFAVBQ_DN170738_c0_g1,0.015015918177922
isogroupOFAVBQ_DN170756_c0_g2,0.215221375496617
isogroupOFAVBQ_DN170777_c0_g1,NA
isogroupOFAVBQ_DN170822_c0_g1,NA
isogroupOFAVBQ_DN170826_c0_g1,NA
isogroupOFAVBQ_DN170977_c1_g1,NA
isogroupOFAVBQ_DN171088_c0_g2,NA
isogroupOFAVBQ_DN171104_c0_g1,NA
isogroupOFAVBQ_DN171355_c1_g1,-0.0270462672981623
isogroupOFAVBQ_DN171422_c1_g1,NA
isogroupOFAVBQ_DN171423_c0_g2,NA
isogroupOFAVBQ_DN171493_c0_g1,NA
isogroupOFAVBQ_DN171493_c0_g2,NA
isogroupOFAVBQ_DN171493_c0_g3,NA
isogroupOFAVBQ_DN171524_c0_g1,NA
isogroupOFAVBQ_DN171576_c0_g2,NA
isogroupOFAVBQ_DN171661_c0_g1,0.0128924085276758
isogroupOFAVBQ_DN171674_c0_g1,-0.512896860820364
isogroupOFAVBQ_DN171775_c0_g1,-0.00768068143082364
isogroupOFAVBQ_DN171785_c0_g1,NA
isogroupOFAVBQ_DN171844_c1_g1,0.0468563751912761
isogroupOFAVBQ_DN171861_c0_g1,NA
isogroupOFAVBQ_DN171877_c0_g1,0.0224591539137965
isogroupOFAVBQ_DN172086_c0_g1,-0.06864050376886
isogroupOFAVBQ_DN172191_c0_g1,NA
isogroupOFAVBQ_DN172235_c0_g1,NA
isogroupOFAVBQ_DN172283_c0_g1,NA
isogroupOFAVBQ_DN172296_c1_g1,NA
