gene,logP
isogroupOFAVBQ_DN160079_c0_g3,NA
isogroupOFAVBQ_DN160132_c0_g1,NA
isogroupOFAVBQ_DN160211_c0_g1,NA
isogroupOFAVBQ_DN160232_c0_g1,NA
isogroupOFAVBQ_DN160242_c0_g1,NA
isogroupOFAVBQ_DN160250_c0_g1,NA
isogroupOFAVBQ_DN160380_c0_g1,NA
isogroupOFAVBQ_DN160518_c0_g1,NA
isogroupOFAVBQ_DN160608_c0_g1,-0.307709271247695
isogroupOFAVBQ_DN160765_c0_g1,NA
isogroupOFAVBQ_DN160857_c0_g2,NA
isogroupOFAVBQ_DN160870_c0_g1,-0.0276132094701606
isogroupOFAVBQ_DN161043_c0_g1,NA
isogroupOFAVBQ_DN161119_c0_g2,NA
isogroupOFAVBQ_DN161209_c0_g2,NA
isogroupOFAVBQ_DN161244_c0_g1,NA
isogroupOFAVBQ_DN161261_c0_g2,NA
isogroupOFAVBQ_DN161333_c0_g1,-0.24008901944424
isogroupOFAVBQ_DN161467_c0_g1,NA
isogroupOFAVBQ_DN161553_c0_g1,NA
isogroupOFAVBQ_DN161618_c0_g1,-1.00292105854975
isogroupOFAVBQ_DN161634_c0_g1,NA
isogroupOFAVBQ_DN161744_c0_g1,NA
isogroupOFAVBQ_DN161988_c0_g1,NA
isogroupOFAVBQ_DN162103_c0_g1,NA
isogroupOFAVBQ_DN162129_c0_g1,NA
isogroupOFAVBQ_DN162444_c0_g1,NA
isogroupOFAVBQ_DN162692_c0_g1,NA
isogroupOFAVBQ_DN162722_c0_g1,NA
isogroupOFAVBQ_DN162816_c0_g1,-0.736504924845362
isogroupOFAVBQ_DN162817_c0_g2,NA
isogroupOFAVBQ_DN162845_c0_g1,NA
isogroupOFAVBQ_DN163023_c2_g1,NA
isogroupOFAVBQ_DN163218_c0_g1,NA
isogroupOFAVBQ_DN163240_c3_g1,NA
isogroupOFAVBQ_DN163722_c0_g1,NA
isogroupOFAVBQ_DN163763_c0_g1,NA
isogroupOFAVBQ_DN163766_c0_g1,-0.304498684502902
isogroupOFAVBQ_DN164076_c0_g2,NA
isogroupOFAVBQ_DN164107_c0_g1,NA
isogroupOFAVBQ_DN164138_c0_g1,0.196503563645921
isogroupOFAVBQ_DN164138_c0_g2,-0.568246022404212
isogroupOFAVBQ_DN164157_c0_g1,NA
isogroupOFAVBQ_DN164178_c0_g2,NA
isogroupOFAVBQ_DN164193_c0_g1,NA
isogroupOFAVBQ_DN164447_c0_g1,NA
isogroupOFAVBQ_DN164545_c0_g3,NA
isogroupOFAVBQ_DN16459_c0_g1,NA
isogroupOFAVBQ_DN164629_c0_g1,NA
isogroupOFAVBQ_DN164688_c0_g1,NA
isogroupOFAVBQ_DN164688_c1_g1,NA
isogroupOFAVBQ_DN164743_c0_g1,NA
isogroupOFAVBQ_DN164806_c0_g1,-0.0384092661964632
isogroupOFAVBQ_DN165095_c0_g1,0.929022159116719
isogroupOFAVBQ_DN165136_c0_g2,NA
isogroupOFAVBQ_DN165390_c0_g1,NA
isogroupOFAVBQ_DN165559_c2_g1,NA
isogroupOFAVBQ_DN16562_c0_g1,NA
isogroupOFAVBQ_DN165686_c0_g1,NA
isogroupOFAVBQ_DN165719_c0_g1,NA
isogroupOFAVBQ_DN165755_c0_g1,NA
isogroupOFAVBQ_DN165798_c0_g1,NA
isogroupOFAVBQ_DN165875_c0_g1,NA
isogroupOFAVBQ_DN165875_c1_g1,NA
isogroupOFAVBQ_DN165875_c2_g1,-1.31065858820712
isogroupOFAVBQ_DN165883_c0_g1,NA
isogroupOFAVBQ_DN165889_c2_g1,NA
isogroupOFAVBQ_DN166008_c0_g1,-0.0149197419492755
isogroupOFAVBQ_DN166079_c0_g1,NA
isogroupOFAVBQ_DN166172_c0_g1,NA
isogroupOFAVBQ_DN166330_c0_g1,NA
isogroupOFAVBQ_DN166352_c0_g1,0.6774079762093
isogroupOFAVBQ_DN166373_c0_g1,NA
isogroupOFAVBQ_DN166376_c0_g1,NA
isogroupOFAVBQ_DN166512_c0_g1,0.29083747870042
isogroupOFAVBQ_DN166774_c0_g1,NA
isogroupOFAVBQ_DN166864_c0_g1,NA
isogroupOFAVBQ_DN166887_c0_g1,NA
isogroupOFAVBQ_DN166907_c0_g1,NA
isogroupOFAVBQ_DN167007_c0_g1,NA
isogroupOFAVBQ_DN167095_c0_g1,NA
isogroupOFAVBQ_DN167127_c0_g1,NA
isogroupOFAVBQ_DN167142_c0_g1,0.236178035900968
isogroupOFAVBQ_DN16740_c0_g1,NA
isogroupOFAVBQ_DN167428_c0_g1,NA
isogroupOFAVBQ_DN167514_c0_g2,NA
isogroupOFAVBQ_DN167554_c0_g1,NA
isogroupOFAVBQ_DN167807_c0_g1,NA
isogroupOFAVBQ_DN167932_c0_g2,NA
