ProbeID,modules2019
isogroupOFAVBQ_DN154908_c0_g1,0
isogroupOFAVBQ_DN155095_c0_g1,0
isogroupOFAVBQ_DN155186_c0_g1,0
isogroupOFAVBQ_DN155283_c0_g1,0
isogroupOFAVBQ_DN155448_c0_g1,0
isogroupOFAVBQ_DN155733_c0_g1,0
isogroupOFAVBQ_DN155736_c0_g1,0
isogroupOFAVBQ_DN155898_c0_g1,0
isogroupOFAVBQ_DN155910_c0_g1,0
isogroupOFAVBQ_DN155928_c0_g2,0
isogroupOFAVBQ_DN156018_c0_g1,1
isogroupOFAVBQ_DN156171_c0_g1,0
isogroupOFAVBQ_DN156209_c0_g1,0
isogroupOFAVBQ_DN156279_c0_g1,0
isogroupOFAVBQ_DN156428_c0_g1,0
isogroupOFAVBQ_DN156462_c0_g1,0
isogroupOFAVBQ_DN156583_c0_g1,0
isogroupOFAVBQ_DN156636_c0_g1,0
isogroupOFAVBQ_DN156679_c0_g1,0
isogroupOFAVBQ_DN156726_c0_g1,0
isogroupOFAVBQ_DN156764_c0_g1,0
isogroupOFAVBQ_DN156793_c0_g1,0
isogroupOFAVBQ_DN156806_c0_g1,0
isogroupOFAVBQ_DN156847_c0_g1,0
isogroupOFAVBQ_DN156998_c0_g2,0
isogroupOFAVBQ_DN157052_c0_g1,0
isogroupOFAVBQ_DN157054_c0_g2,0
isogroupOFAVBQ_DN157089_c0_g1,0
isogroupOFAVBQ_DN157094_c0_g1,0
isogroupOFAVBQ_DN157262_c0_g1,0
isogroupOFAVBQ_DN157314_c0_g1,0
isogroupOFAVBQ_DN157364_c0_g3,0
isogroupOFAVBQ_DN157435_c0_g1,0
isogroupOFAVBQ_DN157519_c0_g1,0
isogroupOFAVBQ_DN157589_c0_g1,0
isogroupOFAVBQ_DN157767_c1_g1,0
isogroupOFAVBQ_DN157853_c0_g1,0
isogroupOFAVBQ_DN158003_c0_g1,0
isogroupOFAVBQ_DN158070_c0_g3,0
isogroupOFAVBQ_DN158341_c1_g1,0
isogroupOFAVBQ_DN158418_c0_g3,0
isogroupOFAVBQ_DN158423_c0_g1,0
isogroupOFAVBQ_DN158495_c0_g1,0
isogroupOFAVBQ_DN158555_c0_g2,0
isogroupOFAVBQ_DN158565_c0_g1,0
isogroupOFAVBQ_DN158731_c0_g1,0
isogroupOFAVBQ_DN158753_c0_g2,0
isogroupOFAVBQ_DN158908_c0_g1,0
isogroupOFAVBQ_DN158976_c0_g1,0
isogroupOFAVBQ_DN159003_c0_g1,0
isogroupOFAVBQ_DN159191_c0_g1,0
isogroupOFAVBQ_DN159252_c0_g1,0
isogroupOFAVBQ_DN159421_c0_g1,0
isogroupOFAVBQ_DN159675_c0_g1,0
isogroupOFAVBQ_DN159974_c0_g1,0
isogroupOFAVBQ_DN160013_c0_g1,0
isogroupOFAVBQ_DN160132_c0_g1,0
isogroupOFAVBQ_DN160211_c0_g1,0
isogroupOFAVBQ_DN160242_c0_g1,0
isogroupOFAVBQ_DN160250_c0_g1,0
isogroupOFAVBQ_DN160380_c0_g1,0
isogroupOFAVBQ_DN160518_c0_g1,0
isogroupOFAVBQ_DN160608_c0_g1,1
isogroupOFAVBQ_DN160690_c0_g1,0
isogroupOFAVBQ_DN160765_c0_g1,0
isogroupOFAVBQ_DN160857_c0_g2,0
isogroupOFAVBQ_DN160870_c0_g1,0
isogroupOFAVBQ_DN161043_c0_g1,0
isogroupOFAVBQ_DN161209_c0_g2,0
isogroupOFAVBQ_DN161244_c0_g1,0
isogroupOFAVBQ_DN161261_c0_g2,0
isogroupOFAVBQ_DN161333_c0_g1,0
isogroupOFAVBQ_DN161467_c0_g1,0
isogroupOFAVBQ_DN161618_c0_g1,0
isogroupOFAVBQ_DN161634_c0_g1,0
isogroupOFAVBQ_DN161744_c0_g1,0
isogroupOFAVBQ_DN161988_c0_g1,0
isogroupOFAVBQ_DN162103_c0_g1,0
isogroupOFAVBQ_DN162129_c0_g1,0
isogroupOFAVBQ_DN162444_c0_g1,0
isogroupOFAVBQ_DN162692_c0_g1,0
isogroupOFAVBQ_DN162722_c0_g1,0
isogroupOFAVBQ_DN162816_c0_g1,0
isogroupOFAVBQ_DN162817_c0_g2,0
isogroupOFAVBQ_DN162879_c0_g1,0
isogroupOFAVBQ_DN163073_c0_g3,0
isogroupOFAVBQ_DN163240_c3_g1,0
isogroupOFAVBQ_DN163320_c0_g1,0
isogroupOFAVBQ_DN163722_c0_g1,0
isogroupOFAVBQ_DN163766_c0_g1,0
isogroupOFAVBQ_DN163810_c0_g1,0
isogroupOFAVBQ_DN164076_c0_g2,0
isogroupOFAVBQ_DN164107_c0_g1,0
isogroupOFAVBQ_DN164138_c0_g1,0
isogroupOFAVBQ_DN164138_c0_g2,0
isogroupOFAVBQ_DN164157_c0_g1,0
isogroupOFAVBQ_DN164178_c0_g2,0
isogroupOFAVBQ_DN164193_c0_g1,0
isogroupOFAVBQ_DN164230_c0_g2,0
isogroupOFAVBQ_DN164447_c0_g1,0
isogroupOFAVBQ_DN16459_c0_g1,0
isogroupOFAVBQ_DN164629_c0_g1,0
